Mature Lymphocyte	UMLS:C1513026
autologous peripheral blood lymphocytes retrovirally-transduced with TCRs targeting neoantigens	UMLS:C4687585
Tisagenlecleucel	UMLS:C3640939
EBV-CTLs	UMLS:C4684961
Autologous CAR-T Cells PRGN 3005	UMLS:C4764271
Autologous Anti-GPC3 CAR T-cells BOXR1030	UMLS:C5666975
Zeushield cytotoxic T lymphocytes	UMLS:C4724905
Anti-TnMUC1-CAR-expressing Autologous T-lymphocytes	UMLS:C5237176
PD-1-disrupted autologous T lymphocytes	UMLS:C4288532
cell heart	UMLS:C0920751
PD-1-disrupted Autologous T-lymphocytes	UMLS:C4288532
Mouse B-Lymphocyte	UMLS:C1522109
Cell, Mast	UMLS:C0024880
NY-ESO-1 TCR-PD-1-CRISPR-gene-edited autologous T lymphocytes	UMLS:C4727561
autologous HPV-CTLs	UMLS:C4733637
CD3+CD56+ lymphocyte	UMLS:C1267831
Autologous Anti-KK-LC-1 TCR-expressing T-cells	UMLS:C5557362
Cells, TH-2	UMLS:C0242633
autologous CD19-specific CAR-T cells C-CAR011	UMLS:C4683473
CTL019	UMLS:C4760444
Blinatumomab-cultured T cells	UMLS:C5401387
Suppressor T Lymphocyte	UMLS:C2355611
Genetically-modified Autologous Cultured T Lymphocytes	UMLS:C4522890
Autologous Anti-CLL1/Anti-CD33 CARs-expressing T-lymphocytes	UMLS:C4763523
CD8+ T-Lymphocyte	UMLS:C0242629
agranular leukocyte	UMLS:C0023517
Plasmacytoid Lymphocyte	UMLS:C0333825
NeoTCR-P1 T-cells	UMLS:C5205974
CD22-4SCAR-expressing T lymphocytes	UMLS:C4725100
Hepatic Stellate Cells	UMLS:C2340138
Regulatory T Lymphocytes	UMLS:C0039198
Memory T-Lymphocyte	UMLS:C0682639
protoplast/spheroplast	UMLS:C0178813
PD1CD28 CSR T Cells	UMLS:C4329372
EpCAM-specific CAR Autologous T-cells	UMLS:C4289582
Type-1 Polarized Dendritic Cell-induced Antigen-specific Autologous Cytotoxic T Lymphocytes	UMLS:C4288083
Cell, Granulosa	UMLS:C0018207
iC9-GD2-CAR-CD28-OX40-expressing autologous NKT cells	UMLS:C4724838
antigen-presenting cell (APC)	UMLS:C0003315
Monocytes+Macrophages	UMLS:C1148382
Eosinocyte	UMLS:C0014467
Effector T Lymphocyte	UMLS:C3641722
Autologous CD19/CD22 Chimeric Antigen Receptor T-cells CT120	UMLS:C5575850
CRC01	UMLS:C5556476
IgM B lymphocyte	UMLS:C1292101
HLA-DP0401/0402-restricted, MAGE-A3-reactive T cell receptor-transduced autologous T cells	UMLS:C3898995
Retinal Cone	UMLS:C0206428
Cells, Retinal Cone	UMLS:C0206428
anti-glypican 3-scFvGC33-CAR-expressing T lymphocytes	UMLS:C4329326
CD16, CD56, CD69 Triple-Positive Activated Lymphocyte	UMLS:C4287595
anti-CD19/CD28/CD3zeta CAR gammaretroviral vector-transduced autologous T lymphocytes KTE-C19	UMLS:C4722589
autologous anti-PD-1/anti-PD-L1 antibodies-expressing anti-EGFRvIII CAR T cells	UMLS:C4725796
basal cells	UMLS:C0596155
Mucosal-Associated Invariant T Cells	UMLS:C3891065
Autologous Ovarian Cancer-specific CTLs	UMLS:C4733630
RTEs	UMLS:C3828361
Meningothelial cell	UMLS:C1513123
Mononuclear leukocyte	UMLS:C0023517
nerve cells	UMLS:C0027882
bone marrow cell	UMLS:C0005955
CD19R(EQ)28zetaEGFRt+ Tn/mem Cells	UMLS:C4522300
Autologous Anti-CD19 CAR T-cells 19(T2)28z1xx	UMLS:C5420310
Intraepithelial T Cells	UMLS:C1512944
CD4-Positive Lymphocytes	UMLS:C0039215
Tumor infiltrating lymphocytes, autologous	UMLS:C4053624
Cone Photoreceptor	UMLS:C0206428
Recent Thymic Emigrants	UMLS:C3828361
Autologous Anti-HER2 CAR-CD28-expressing T Cells	UMLS:C5669732
Autologous tumor infiltrating lymphocytes	UMLS:C4053624
Peripheral Blood Human Mononuclear Cells	UMLS:C1321301
CD3+CD8+ Lymphocyte	UMLS:C0039195
Transitional B Cells	UMLS:C1512631
ht-29 cell	UMLS:C0282639
bbT 369	UMLS:C5667051
Autologous Tn-MUC1-specific CAR T Cells	UMLS:C5237176
autologous iPD1 CD19 eCAR T cells	UMLS:C4726569
Normal Cell	UMLS:C0007634
Autologous CD34+ Cells Encoding beta-A-T87Q-globin Gene	UMLS:C4086010
γδ T cells	UMLS:C4086901
Heart Muscle Cells	UMLS:C0225828
autologous anti-MAGE-A3/A6 TCR-transduced T cells KITE-718	UMLS:C4525866
autologous tumor-infiltrating lymphocytes LN-145	UMLS:C4525956
COS-1	UMLS:C0376702
CD22-4SCAR-expressing T Lymphocytes	UMLS:C4725100
bone marrow cells	UMLS:C0005955
cytotoxic cell	UMLS:C0022686
Autologous MAGE-A3-specific HLA-A*01-Restricted T Cell Receptor Gene Engineered Lymphocytes	UMLS:C3899996
Photoreceptor Cell, Cone	UMLS:C0206428
EGFR BATs	UMLS:C4085964
gamma-retroviral MSGV1 139 scFv EGFRvIII CAR gene-modified autologous T lymphocytes	UMLS:C4684956
germ cell	UMLS:C0017471
Acanthocyte	UMLS:C0000886
Spermatic	UMLS:C0037868
Autologous Anti-BCMA/Anti-TACI Trimeric APRIL-based CAR T-cells	UMLS:C5668451
nTregs	UMLS:C1267822
Erythrocyte	UMLS:C0014792
cho cell	UMLS:C0085080
Cell, Myeloid	UMLS:C0887899
AUTO-1	UMLS:C5700423
Autologous CD171-specific CAR-CD28 zeta-4-1-BB-EGFRt-expressing T Lymphocytes	UMLS:C3900004
Leukocytes &#x7C; Blood product unit &#x7C; Hematology and Cell counts	UMLS:C5186733
Lymphoid Cells	UMLS:C0086574
MCAR H125	UMLS:C5706462
Stem Cell, Hematopoietic	UMLS:C0018956
Autologous CD19/CD20 Bispecific CAR-T Cells	UMLS:C5419436
Cell, Immobilized	UMLS:C0282542
PHE885	UMLS:C5418067
Cells, KB	UMLS:C0022539
Autologous Tumor Infiltrating Lymphocytes LN-145-S1	UMLS:C5417988
Mononucleated Blood Cell	UMLS:C2347293
Cytoplasmic CD179a blasts &#x7C; Blood &#x7C; Cell markers	UMLS:C5161795
TAC 01-HER2	UMLS:C5554927
Myocytus striatus	UMLS:C1704336
MUC1-gene-DC-CTL	UMLS:C4086005
CXCR2-transduced Autologous Tumor Infiltrating Lymphocytes	UMLS:C3899738
autologous anti-CTLA-4/PD-1 antibodies-expressing meso-CAR-T cells	UMLS:C4724730
C CAR039	UMLS:C5706336
Autologous Tolerogenic DC with Proinsulin Peptide PIpepTolDC	UMLS:C5447312
Phagocytic Cell	UMLS:C0031307
LM-103	UMLS:C5706428
Autologous GD2 CAR-BBz-iCasp9 T Cells	UMLS:C5420429
T Lymphocyte Subset	UMLS:C0080202
HER2-CAR-modified Adenovirus-specific CTLs	UMLS:C5203928
connective tissue cells	UMLS:C0009781
Spheroid, Multicellular	UMLS:C0282501
Autologous Anti-CD19 CAR TCR-zeta/4-1BB-transduced T-lymphocytes huCART19	UMLS:C4744702
Autologous Interleukin-15-armored Anti-GPC3 CAR-iC9-expressing T-lymphocytes	UMLS:C5575455
Cells, Circulating Tumor	UMLS:C0027625
Lymphocytes, Tumor-Infiltrating	UMLS:C0079722
MCF7 Cells	UMLS:C0596890
Follicular B Helper T Cell	UMLS:C5392114
Autologous MAGE-C2/HLA-A2 TCR T-cells	UMLS:C5555575
Cone	UMLS:C0206428
Autologous CD19 CAR-expressing CD4+/CD8+ T-cells MB-CART19.1	UMLS:C5417890
autologous anti-EGFRvIII 4SCAR-IgT cells	UMLS:C4725796
4S-CD20-CAR-T Cell	UMLS:C4725101
Autologous Anti-glypican-3 CAR-IL-15-iC9-expressing T-lymphocytes	UMLS:C5575456
Autologous H3.3K27M-specific TCR T Cells	UMLS:C5707658
autologous TCR-engineered T cells IMA202	UMLS:C4727097
Autologous Anti-B7-H3/CD19 CAR T-cells SCRI-CARB7H3(s)x19	UMLS:C5417851
Blinatumomab-expanded Peripheral Blood-derived T Cells	UMLS:C5401387
autologous LMP1-/LMP2- specific cytotoxic T-lymphocytes	UMLS:C2346885
autologous anti-CD19 chimeric antigen receptor T cells SJCAR19	UMLS:C4684890
IMA201 autologous T lymphocytes	UMLS:C4687450
MAGE-A3 TCR-transduced Autologous T cells	UMLS:C3273204
CD33-specific CAR Lentiviral Vector-transduced Autologous T-lymphocytes	UMLS:C4725105
Autologous huMNC2-CAR44 CAR T Cells	UMLS:C4764235
Autologous CD19-targeted CAR T Cells GC019F	UMLS:C5555146
Invariant Natural Killer T Cell	UMLS:C2350467
autologous MAGE-A10-specific HLA-A2-restricted TCR c796 gene-engineered lymphocytes	UMLS:C4287655
cMET CAR-mRNA-electroporated autologous T lymphocytes	UMLS:C4724864
Autologous CD19- scFv/CD28/CD137/CD27/CD3z-iCasp9 4SCAR-19 T-cells	UMLS:C4724856
T-Cell, Helper	UMLS:C0018894
Lisocabtagene maraleucel	UMLS:C4086001
DeTIL NX-0255	UMLS:C5666969
Blood Erythrocyte	UMLS:C0014792
glial cell	UMLS:C0027836
autologous HPV-16/18 E6/E7-specific TGF-beta-resistant T lymphocytes	UMLS:C4050617
Cells, Tr1	UMLS:C1563925
Anti-CD3 x Anti-EGFR AATCs	UMLS:C4085965
ET140203	UMLS:C5446421
NY-ESO-1-redirected CRISPR-TCRendo/PD1-edited T cells	UMLS:C4727561
Autologous CD19-CD8-CD28-CD3zeta-CAR-mbIL15-HER1t T Cells	UMLS:C4726059
T4 Lymphocytes	UMLS:C0039215
RD1401	UMLS:C5706526
Colony Forming Units - Lymphoid	UMLS:C1955939
rbcs	UMLS:C0014792
cardiac muscle cells	UMLS:C0225828
T8 lymphocyte	UMLS:C0242629
AKTi-treated TIL	UMLS:C4055481
Lymphocytes.vacuolated	UMLS:C4317150
Tumor-Derived Activated Cell	UMLS:C0080261
GC 012F	UMLS:C5446552
chromatophore	UMLS:C0008572
Red cells	UMLS:C0014792
Leukocytes &#x7C; Urine sediment &#x7C; Urinalysis	UMLS:C5170944
TAK103	UMLS:C5667010
Variant lymphocytes &#x7C; Synovial fluid &#x7C; Hematology and Cell counts	UMLS:C5184824
CD2+CD20+ lymphocyte	UMLS:C1267814
pCAR-19B	UMLS:C5556648
Autologous Memory Enriched HER2(EQ)BBzeta/CD19t+-expressing T-cells	UMLS:C4727554
Cells, Giant	UMLS:C0017526
PSC	UMLS:C2936598
Cardiocyte	UMLS:C0225828
Leukocytes &#x7C; Cerebral spinal fluid &#x7C; Hematology and Cell counts	UMLS:C5170924
ARI 0002h	UMLS:C5447425
CCAR066	UMLS:C5447428
Autologous Anti-CD123 CAR TCR/4-1BB-expressing T-lymphocytes	UMLS:C4085999
Autologous Anti-CD19/Anti-CD20 CAR T Cells KITE-363	UMLS:C5557384
GAIA 102	UMLS:C5667007
Immunologic Accessory Cells	UMLS:C0003315
PSMA-specific 4th generation CART cells	UMLS:C4725933
CD10+ Lymphoblast	UMLS:C1267861
autologous anti-PD-1/CTLA4-targeting antibodies-expressing EGFR-specific CAR-T cells	UMLS:C4725929
Lymphocyte, Bursa-Dependent	UMLS:C0004561
ITIL 168	UMLS:C5666883
Leukocytes	UMLS:C0023516
Plasma cells &#x7C; Blood &#x7C; Hematology and Cell counts	UMLS:C5177453
HCT116 Cell	UMLS:C1258005
ARI0001	UMLS:C5555879
HT29	UMLS:C0282639
Autologous Anti-BCMA CAR-T Cells JCARH 125	UMLS:C5700405
Cells, Germ	UMLS:C0017471
CD19CAR-CD28-CD3zeta-EGFRt-expressing Tn/mem-enriched T cells	UMLS:C4522300
Autologous C7R-GD2.CART Cells	UMLS:C5206851
Lymphocytes clefted	UMLS:C1115669
Circulating Tumor-Reactive T Cell	UMLS:C4329671
cMet RNA CAR T Cells	UMLS:C3831071
anti-CD3 x anti-EGFR BATs	UMLS:C4085965
LeY-targeted CAR-T cells	UMLS:C4329333
Autologous CCR4-CAR-CD19-CD28-zeta-transduced T-lymphocytes	UMLS:C4733634
l cells (cell line)	UMLS:C0022827
Leukocyte (WBC) (MMHCC)	UMLS:C1522639
CD8 lymphocyte	UMLS:C0242629
Cells, Phagocytic	UMLS:C0031307
PC-3 Cell Line	UMLS:C3890720
IMA201 T cells	UMLS:C4687450
Autologous CAR2 Anti-CD38 A2 CAR T-cells	UMLS:C4744619
C-CAR 088	UMLS:C5417809
CD2+CD26+ Lymphocyte	UMLS:C1267815
CD16-CD57+ Lymphocyte	UMLS:C1267882
Kolliker's reticulum	UMLS:C0027836
autologous HER2 chimeric receptor/TGFbeta dominant negative receptor-expressing EBV-specific cytotoxic T lymphocytes	UMLS:C2827682
lymphocytes cd4	UMLS:C0039215
Progenitor, Common Lymphoid	UMLS:C1955940
autologous PD-1-targeted CSR T cells	UMLS:C4329372
Lymphocytes.villous	UMLS:C1519986
Lymphocytes.plasmacytoid	UMLS:C0333825
CD33-specific CAR lentiviral vector-transduced autologous T lymphocytes	UMLS:C4725105
autologous BCMA/TACI-targeted CAR T cells AUTO2	UMLS:C4725789
Effector T Cell	UMLS:C3641722
GC007F	UMLS:C5417841
anti-K-RAS G12V mTCR-transduced autologous PBLs	UMLS:C4684891
autologous tumor-infiltrating lymphocytes MDA-TIL	UMLS:C4727163
GC-012F	UMLS:C5446552
hela cells	UMLS:C0018873
Autologous Anti-GD2-CAR-BBz-transduced T Lymphocytes	UMLS:C5420429
B-cell	UMLS:C0004561
NY-ESO-1-redirected CRISPR Edited T Cells	UMLS:C4727561
acinar cells	UMLS:C0596030
Autologous Anti-mesothelin CAR-T Cells TAK-103	UMLS:C5667010
Cell, HT29	UMLS:C0282639
Cells, Homologous	UMLS:C3485979
nerve unit	UMLS:C0027882
Autologous LCAR-T2C CAR-T-lymphocytes	UMLS:C5446540
NTLA 5001	UMLS:C5666943
anti-NY-ESO-1 TCR transduced autologous T cells TAEST16001	UMLS:C4687729
Precursor Cell, B-Lymphoid	UMLS:C1512631
TAA05	UMLS:C5666913
cones eye	UMLS:C0206428
Leukocytes &#x7C; Sputum &#x7C; Hematology and Cell counts	UMLS:C5170939
cell plasma	UMLS:C0032112
Autologous PD-1 Nanobody-expressing Anti-MSLN CAR T-cells	UMLS:C5554942
Stellate Cell, Hepatic	UMLS:C2340138
Regulatory T-Lymphocytes	UMLS:C0039198
autologous AML-specific CTL	UMLS:C3831438
L-Cells	UMLS:C0022827
Cytorex EBV	UMLS:C4733516
Cell, Eukaryotic	UMLS:C0015161
Leukocytes &#x7C; Ear &#x7C; Hematology and Cell counts	UMLS:C5170928
ALLOLYMPH	UMLS:C0879438
C-CAR011	UMLS:C4683473
blood white cells	UMLS:C0023516
Autologous Anti-FSHR Chimeric Endocrine Receptor-expressing T Cells	UMLS:C5670737
Circulating Tumor Reactive T-Cell	UMLS:C4329671
L Cell (Cell Line)	UMLS:C0022827
Effector T Cells	UMLS:C3641722
Autologous Anti-GPC3 CAR-IL-15-iCasp9-expressing T-lymphocytes	UMLS:C5575455
Mucous cell	UMLS:C0506994
Autologous Gamma-retroviral MSGV1 139 scFv EGFRvIII CAR Gene-modified T Cells	UMLS:C4684956
SPEAR T-cell ADP-A2M4	UMLS:C4528709
Blinatumomab-expanded T Cells	UMLS:C5401387
HSPCAR30	UMLS:C5555574
Therapeutic Autologous Lymphocytes	UMLS:C1711172
IMA201 T-cells	UMLS:C4687450
Oncocytes	UMLS:C0949666
UWC-19	UMLS:C5448048
Delayed type hypersensitivity-related T cell	UMLS:C2324943
autologous AXL-targeted CAR-T cells CCT301-38	UMLS:C4727549
autologous CAR-CLD18 T cells	UMLS:C4727694
Cells.XXX	UMLS:C1440424
Autologous CD33-CAR-T Cells	UMLS:C4725105
MDA-MB-231 Cell Line	UMLS:C5690732
Lymphocyte, Tumor Infiltrating	UMLS:C0079722
bloods cells white	UMLS:C0023516
Blood Cells	UMLS:C0005773
Sperm	UMLS:C0037868
Abnormal lymphocytes	UMLS:C4551752
Autologous CD19-specific CAR-T Cells C-CAR011	UMLS:C4683473
Killer Cell	UMLS:C0022688
Mouse Lymphocyte	UMLS:C1522703
Anti-CD30-CAR/CD28z-CCR4 Retroviral Vector-transduced Autologous T-Cells	UMLS:C4733634
T-Lymphocyte and NK-Cell	UMLS:C1515139
Cells, Antibody-Producing	UMLS:C0003273
cell humans lines	UMLS:C0682523
MAGE-A3/12-specific TCR gene-transduced autologous PBLs	UMLS:C3898559
Suppressor cells	UMLS:C0038856
Lymphocyte, CD8-Positive	UMLS:C0242629
Anti-VEGFR2-CAR Retroviral Vector-transduced Autologous T-lymphocytes	UMLS:C4050617
Photoreceptor Cells, Cone	UMLS:C0206428
Autologous iCasp9-deltaNGFR-CD19CAR-expressing T Cells	UMLS:C4329370
autologous anti-CD19CAR-4-1BB-CD3zeta-EGFRt-expressing T lymphocytes	UMLS:C3900006
FLAER cells	UMLS:C1507327
autologous anti-gp100:154-162 T-cell receptor gene-engineered peripheral blood lymphocytes	UMLS:C1831990
cells t-helper	UMLS:C0018894
Cellulae aminergicae areae tegmentalis ventralis [A10]	UMLS:C1183184
Cells, MAIT	UMLS:C3891065
Gamma Delta T Cell	UMLS:C1515186
thymus-dependent lymphocyte	UMLS:C0039194
Cell, MDA-MB-231	UMLS:C5690732
CD44+ T lymphocyte	UMLS:C4322813
Monocytes.HLA-DR	UMLS:C5212874
Cytoplasmic CD2 blasts	UMLS:C1979649
anti-thyroglobulin mTCR-transduced autologous peripheral blood lymphocytes	UMLS:C4053742
thymocytes	UMLS:C0814999
Autologous Modified Gamma Delta T-cells	UMLS:C5447544
Bi-specific CD19/79b 4SCAR-T Cells	UMLS:C5708221
NIB 103	UMLS:C5667009
HL60 Cells	UMLS:C0282549
WBCs	UMLS:C0023516
Autologous iC9-CAR19 Cells	UMLS:C4553719
Cell, Glia	UMLS:C0027836
Eukaryotic cells	UMLS:C0015161
Autologous iPD1 CD19 eCAR T Cells	UMLS:C4726569
Lines, Tumor Cell	UMLS:C0085983
Therapeutic Young Autologous TILs	UMLS:C4745321
Autologous TIL-TCMs	UMLS:C5708224
Melanoma Cell	UMLS:C1513095
cell hybridoma	UMLS:C0020204
Autologous TCR Modified T Cells MDG1011	UMLS:C4733675
White blood cells	UMLS:C0023516
Autologous Anti-BCMA Centyrin-based Chimeric Antigen Receptor-expressing Tscm	UMLS:C5700402
Autologous CAR-T Cells IC19/1563	UMLS:C5666893
Type 1 T reg	UMLS:C4284002
CD4 Positive Memory T-Lymphocyte	UMLS:C3273371
B-Lymphocyte, Immature	UMLS:C1512631
Large Granular Lymphocyte	UMLS:C0427526
iCasp9M28z T cells	UMLS:C4055455
ACTR707 cells	UMLS:C4682464
Syncytia	UMLS:C0017526
Th2 cell	UMLS:C0242633
Autologous CLL1-specific CAR T-lymphocytes	UMLS:C5446539
OBX115	UMLS:C5706539
autologous CD19-targeted CAR T cells JWCAR029	UMLS:C4733633
SmIg cells	UMLS:C1440395
Mononuclear cells	UMLS:C0806987
NKT Cell	UMLS:C2350466
T8 Lymphocytes	UMLS:C0242629
autologous Tcm cells	UMLS:C4727553
Cell Lines	UMLS:C0007600
adventitial cell	UMLS:C0598800
CT 041	UMLS:C4727694
CT103A	UMLS:C5666940
Autologous BCMA-specific CAR-T Cells JCARH125	UMLS:C5700405
MB-CART2019.1	UMLS:C5557607
autologous anti-CD19 CAR-T cells C-CAR011	UMLS:C4683473
anti-CD19-CAR T cells TBI-1501	UMLS:C4725690
cells mastoid	UMLS:C0229423
Dual CAR-T Cells GC022	UMLS:C5417842
cardiac myocytes	UMLS:C0225828
Follicular B Helper T Cells	UMLS:C5392114
CD2+ Lymphocyte	UMLS:C1267813
cd4 cells	UMLS:C0039215
Lymphokine Activated Killer Cell	UMLS:C0022687
Antibody-Producing Cell	UMLS:C0003273
Autologous Gene-modified Gamma Delta T-cells	UMLS:C5447544
Cell, Erythroid	UMLS:C1257751
Anucleated cell	UMLS:C1180924
CART-33 TCR zeta:CD137 Cells	UMLS:C3831168
Autologous Anti-EGFR/IL13Ra2 CAR T Cells	UMLS:C5669986
Neoplasm Circulating Cells	UMLS:C0027625
autologous iC9.2A.deltaNGFR.2A.CAR.CD19 T cells	UMLS:C4329370
huCART19-IL18	UMLS:C5555808
Autologous MCPyV-specific HLA-A02-restricted TCR-transduced CD4+ and CD8+ T-cells FH-MCVA2TCR	UMLS:C4744782
Lymphocyte B-Cells	UMLS:C0004561
Lymphoid cell	UMLS:C0086574
T-Lymphocyte, Helper	UMLS:C0018894
Mesophyll Cells	UMLS:C2936408
B cell	UMLS:C0004561
Cell, HCT-116	UMLS:C1258005
Cell, Null	UMLS:C0024265
Autologous Anti-CD19/20 Bispecific CAR-T Cells	UMLS:C5419436
Autologous MART-1 (26-35) Peptide Pulsed DC Vaccine	UMLS:C4684836
Retinal Cones	UMLS:C0206428
CD33CAR-CD3zeta-4-1BB-expressing autologous T-lymphocytes	UMLS:C3831168
TCR T-cells	UMLS:C4527420
MCF-7 Cell	UMLS:C0596890
PRGN-3005 UltraCAR-T Cells	UMLS:C4764271
UniCAR02 T	UMLS:C5446544
Cell, Sertoli	UMLS:C0036770
Sezary Cell	UMLS:C0333851
CD19CAR-CD28-CD3zeta-EGFRt-expressing Tn/mem-enriched T Cells	UMLS:C4522300
Cardiac Myocytes	UMLS:C0225828
iCasp9M28z T Cells	UMLS:C4055455
CD19R(EQ)28zeta/truncated Human EGFR+ Central Memory T Cells	UMLS:C4524369
HER2 Specific T-Cells	UMLS:C1708270
Autologous CD19/PD-1 Bispecific CAR-T Cells	UMLS:C5419628
Precursor Cells, B Lymphoid	UMLS:C1512631
T Follicular Helper Cell	UMLS:C5392114
Cells.BCLXL	UMLS:C1979663
Naive T Cell	UMLS:C3641721
KD-025	UMLS:C5552872
autologous melanoma-specific cytotoxic T lymphocytes	UMLS:C3900002
Autologous Anti-CD19/CD20 Bispecific Nanobody-derived CAR-T Cells	UMLS:C5419436
Lymphocyte, Thymus-Dependent	UMLS:C0039194
mononuclear leukocyte	UMLS:C0023517
CRISPR-Cas9-mediated PD-1 and TCR Gene-deleted Anti-mesothelin CAR T-cells	UMLS:C4764291
Leukocytes &#x7C; Prostatic fluid &#x7C; Hematology and Cell counts	UMLS:C5170936
LMY-920	UMLS:C5706399
Lymphocytes &#x7C; Synovial fluid &#x7C; Hematology and Cell counts	UMLS:C5171668
Autologous Anti-gp100:154-162 TCR TILs	UMLS:C5556435
Cultured Tumor Cells	UMLS:C0041362
relmacabtagene autoleucel	UMLS:C5551406
autologous CCT301-59 CAR-T cells	UMLS:C4727550
hepatic cells	UMLS:C0227525
Cells, Cultured	UMLS:C0007635
hepatocyte	UMLS:C0227525
CILTACABTAGENE AUTOLEUCEL	UMLS:C4727630
Autologous Anti-CD19CAR-CD3zeta-4-1BB-IL-15-PD1-expressing Tri-functional T-lymphocytes	UMLS:C4744618
Corpuscle, Blood	UMLS:C0005773
Th1 Cell	UMLS:C0242632
CD171 CAR+ T cells	UMLS:C3900004
Invariant Natural Killer T-Cell	UMLS:C2350467
Aminergic cells in compact part of substantia nigra [A9]	UMLS:C1183180
autologous CD19/CD22CAR-HER2t-EGFRt-expressing T lymphocytes	UMLS:C4733647
EGFRBi-armed autologous activated T cells	UMLS:C2348359
autologous CD4- and CD8-positive truncated CD19-expressing antigen presenting T cells	UMLS:C4684462
Patient-derived WT1/PRAME/Survivin-specific Cytotoxic T-lymphocytes	UMLS:C5206702
Corpuscles, Red Blood	UMLS:C0014792
Autologous T-cells Transduced with ET1402L1-CAR	UMLS:C4733642
mastocytes	UMLS:C0024880
CD20+ Lymphoblast	UMLS:C1267889
Cilta-cel	UMLS:C5575126
Cochlear pillar cell	UMLS:C0229470
MASE-T Cells	UMLS:C5556709
Autologous Anti-CD19/20 CAR-CD28-4-1BB-CD3zeta-EGFRt+-expressing Naive and Memory T-lymphocytes	UMLS:C5205544
acanthrocyte	UMLS:C0000886
Renal Tumor-Reactive Autologous Tumor Infiltrating Lymphocyte	UMLS:C1709904
Keratinocyte	UMLS:C0022567
Amine precursor uptake and decarboxylation cell	UMLS:C0003649
CD4+ Naive T-Lymphocyte	UMLS:C3273372
autologous E6 TCR T cells	UMLS:C4726563
CD126+ lymphocyte	UMLS:C1268001
Cells.cytoplasmic CD3	UMLS:C3176906
Cell, LAK	UMLS:C0022687
CAR19-T Cells FT819	UMLS:C5447470
Autologous CD4+/CD8+ 4-1BB-CD3zeta-EGFR806-CAR-EGFRt/4-1BB-CD3zeta-CD19-CAR-HER2tG-expressing CARs T Cells	UMLS:C4761464
T Cell, Helper	UMLS:C0018894
Autologous CAR-19/CAR-20-T Cells Hu1928-Hu20BB	UMLS:C5237449
precursor cell	UMLS:C0018956
Allogeneic EBV-specific CTLs ATA129	UMLS:C5700403
Autologous Anti-BCMA-CAR CD4+/CD8+ Cells	UMLS:C4684830
Line, PC-3 Cell	UMLS:C3890720
NIB 101	UMLS:C5667076
Autologous T-cells SENL101	UMLS:C5706465
Antigen presenting cell	UMLS:C0003315
Cell Lines, THP-1	UMLS:C4505192
Cells, Allogeneic	UMLS:C3485979
anti-KRAS G12V mTCR-transduced autologous peripheral blood lymphocytes	UMLS:C4684891
hemocytoblast	UMLS:C0038250
Cells, Lymphoid Progenitor	UMLS:C1955939
Autologous Anti-gp100:154-162 TCR-engineered TILs	UMLS:C5556435
Anti-CD20-CAR-CD3zeta-4-1BB-expressing Autologous T-lymphocyte Cells	UMLS:C3641685
EGFR CAR-CD3zeta-4-1BB-expressing Autologous T-Lymphocytes	UMLS:C3830333
Proinsulin-loaded Tolerogenic DCs PIpepTolDC	UMLS:C5447312
ICT-121 DC Vaccine	UMLS:C4086505
Autologous CRISPR-edited CD7-targeting CAR-CD28zeta T Cells	UMLS:C5575457
MAGE-A4-specific TCR gene-transduced C1032 T lymphocytes	UMLS:C4528709
IL13Ralpha2-specific Hinge-optimized 41BB-co-stimulatory CAR Truncated CD19-expressing Autologous T-Lymphocytes	UMLS:C3897094
Lympholytic Cells, Cell-Mediated	UMLS:C0039195
Anti-Her-2-CAR-Engineered Autologous PBLs	UMLS:C2698146
anti-CD19/CD22CAR-HER2t-EGFRt-expressing autologous T cells	UMLS:C4733647
Lymphocyte, Memory T	UMLS:C0682639
Circulating Tumor Reactive T Cell	UMLS:C4329671
Autologous ICASP9-deltaNGFR-CD19CAR-expressing T-Lymphocytes	UMLS:C4329370
Cells, HeLa-KB	UMLS:C0022539
Set of aminergic cells	UMLS:C1183167
B-Cell, Precursor	UMLS:C0312738
APC	UMLS:C0003315
Anti-CD33 TCR zeta:CD137 CAR T Cells	UMLS:C3831168
T-Lymphocytes, Regulatory	UMLS:C0039198
Natural Killer Cell	UMLS:C0022688
PDCD-1 Knockout Autologous T Lymphocytes	UMLS:C4288532
Set of aminergic cells in reticular formation	UMLS:C1183176
Delayed type hypersensitivity-related T lymphocyte	UMLS:C2324943
Neural crest cell group	UMLS:C0815004
Therapeutic Invariant NK T-cells	UMLS:C4723769
MCPyV TAg-specific polyclonal autologous CD8-positive T cell vaccine	UMLS:C3641687
GSK 3901961	UMLS:C5446937
CD20-specific 4th Generation Chimeric Antigen Receptor-modified T Cells	UMLS:C4725101
Muscle Fibers, Skeletal	UMLS:C1704336
IMA-201	UMLS:C4687450
autologous genetically-modified MAGE-A4 C1032 T lymphocytes	UMLS:C4528709
cardiac cell	UMLS:C0920751
T-Lymphocyte, Cytotoxic	UMLS:C0039195
Accessory Cells, Immunologic	UMLS:C0003315
Abnormal blood cells.CD7	UMLS:C1440056
Epithelial cell of skin	UMLS:C3496194
CD19-specific CAR-T Cells YTB323	UMLS:C5446599
Autologous FRa-4SCAR-expressing T-cells 4SCAR-FRa	UMLS:C4725932
Autologous Anti-CD19 CAR IL-18-expressing T Cells	UMLS:C5555808
