Disease, Biliary Tract	UMLS:C0005424
Neurodegenerative diseases	UMLS:C0524851
vascular diseases	UMLS:C0042373
Carbohydrates--Metabolism--Disorders	UMLS:C0149670
disorder of fluid or electrolyte or acid-base balance	UMLS:C0267994
disorders ear	UMLS:C0013447
Tatsumi Factor Deficiency	UMLS:C1848931
DISEASES OF THE SKIN AND SUBCUTANEOUS TISSUE	UMLS:C0178298
Leukaemia	UMLS:C0023418
Platelet Abnormality	UMLS:C0005818
prognosis	UMLS:C0033325
disease rare	UMLS:C0678236
HORMONAL IMBALANCE	UMLS:C0014130
Genetic knowledge reference Molgen Nom (Bld/Tiss)	UMLS:C3263357
disease tongue	UMLS:C0040409
digestive diseases tract	UMLS:C0017178
all types of leukemia	UMLS:C0023418
Coagulation, Disorders of	UMLS:C0005779
Cancers	UMLS:C0006826
Tumor, Trophoblast	UMLS:C0041182
Respiratory Disorder	UMLS:C0035204
larynx disorder	UMLS:C0023051
Malignant Granuloma	UMLS:C0019829
Cell Neoplasms, Basal	UMLS:C0206710
vascular disorder	UMLS:C0042373
hereditary disorders	UMLS:C0019247
disease motor neuron upper	UMLS:C0521659
disorder communication	UMLS:C0009460
Obstructive Nephropathy	UMLS:C0149939
Appetite Disorder	UMLS:C0003621
temporomandibular joint disease	UMLS:C0039494
Myomatous neoplasm	UMLS:C0282606
of urea cycle disorder	UMLS:C0154246
gastro-intestinal disorder	UMLS:C0017178
Malignant neoplasm	UMLS:C0006826
MOTOR NEURON DISEASE	UMLS:C0085084
digestive system disease	UMLS:C0012242
Disorders of soft tissue, unspecified	UMLS:C0263978
urinary system disorder	UMLS:C0042075
Disorders	UMLS:C0012634
nails diseases	UMLS:C0027339
Heart Disease, Valvular	UMLS:C0018824
Ear Diseases	UMLS:C0013447
epithelial tumour	UMLS:C1368683
circulatory disorder system	UMLS:C0728936
joint dysfunction	UMLS:C0022408
cardiovascular disorder	UMLS:C0007222
Glial Tumor	UMLS:C0017638
ethnology	UMLS:C0015033
Rare Diseases	UMLS:C0678236
Portosystemic Encephalopathy	UMLS:C0019151
spondylopathy	UMLS:C0037933
Disease, Urogenital	UMLS:C0080276
rotors syndrome	UMLS:C0220991
ALCOHOL DEPENDENCE	UMLS:C0001973
Peripheral T-Cell Lymphoma	UMLS:C5551485
temporomandibular disorders	UMLS:C0039494
Disease, Duodenal	UMLS:C0013289
Neoplasm of the Muscle	UMLS:C0282606
Morbus cordis NOS	UMLS:C0018799
Skin and Subcutaneous Tissue Disorders	UMLS:C0178298
LACRIMAL DISORDER	UMLS:C0022904
disease splenic	UMLS:C0037997
Female Genital Disease	UMLS:C0017411
Sheath Tumor, Nerve	UMLS:C0206727
Vocal disorders	UMLS:C0042940
EYE DISORDER	UMLS:C0015397
Breast Disorder	UMLS:C0006145
germ cell neoplasms	UMLS:C0205851
Disease, Nail	UMLS:C0027339
respiratory system disease	UMLS:C0035242
leukemias	UMLS:C0023418
Disease, Lacrimal Apparatus	UMLS:C0022904
blood disorder platelet	UMLS:C0005818
myeloid granulocytic leukemia	UMLS:C0023470
beryllium poisoning	UMLS:C0005138
spleen disorders	UMLS:C0037997
duodenal disease	UMLS:C0013289
Parathyroid Disorders	UMLS:C0030517
genitourinary disease	UMLS:C0080276
Trophoblastic Tumors	UMLS:C0041182
valve heart disease	UMLS:C0018824
nutrition disorder	UMLS:C3714509
Diseases of the skin and subcutaneous tissue	UMLS:C0178298
feeling ill	UMLS:C0221423
dysmyelopoiesis	UMLS:C3463824
disorders type	UMLS:C0457464
Diagnosed	UMLS:C0011900
Tumors, Blood Vessel	UMLS:C4722524
biliary disease tract	UMLS:C0005424
ENCEPHALOPATHY HEPATIC	UMLS:C0019151
Parathyroid Gland Disorder	UMLS:C0030517
Upper Motor Neuron Disease	UMLS:C0521659
pancreatic islet disorder	UMLS:C0271633
Pancreatic disease	UMLS:C0030286
glial cell tumor	UMLS:C0017638
Morbidity - disease rate	UMLS:C0026538
Disorders of magnesium metabolism	UMLS:C0012716
dermatological disease	UMLS:C0037274
Taxonomic	UMLS:C0008903
Reproductive System Disorder	UMLS:C0178829
Crystalline Arthropathy	UMLS:C0152087
ailments	UMLS:C0221423
Unspecified disorder of intestine	UMLS:C0021831
leukemias types	UMLS:C0023418
Unk	UMLS:C0439673
ray	UMLS:C0851346
Disorder, Neurologic	UMLS:C0027765
ARTHROPATHY (NOS)	UMLS:C0022408
Unspecified crystal arthropathy, site unspecified	UMLS:C0152087
Venous Disorder	UMLS:C0235522
Connective Tissue Disease	UMLS:C0009782
Tract Disease, Biliary	UMLS:C0005424
leptomeningioma	UMLS:C0025286
leukaemia myelogenous	UMLS:C0023470
Diseases, Parathyroid	UMLS:C0030517
addiction alcohol	UMLS:C0001973
ear disorder	UMLS:C0013447
Genetic Disease	UMLS:C0019247
dormant disease	UMLS:C0544452
Susceptibility, Disease	UMLS:C0012655
illness psychiatric	UMLS:C0004936
bladder diseases	UMLS:C0005686
disorder spleen	UMLS:C0037997
GENITOURINARY DISORDERS	UMLS:C0080276
diseases pancreas	UMLS:C0030286
Gastrointestinal System Disorder	UMLS:C0017178
Urinary Bladder Disease	UMLS:C0005686
OPHTHALMIC DISORDERS	UMLS:C0015397
spinal disorder	UMLS:C0037933
Neuroepithelial Tissue Tumor	UMLS:C0206715
tumor blood vessel	UMLS:C4722524
Digestive System Disease	UMLS:C0017178
Dysmyelopoiesis	UMLS:C3463824
Giant Cell Tumors	UMLS:C0017525
infection	UMLS:C0009450
arteriopathy	UMLS:C0852949
DISEASES OF THE GENITOURINARY SYSTEM	UMLS:C0080276
TMJ Disorder	UMLS:C0039494
Intestinal Disease	UMLS:C0021831
Clinical Data Interchange Standards Consortium	UMLS:C4553192
pericardial disease	UMLS:C0265122
Lymphatic Diseases	UMLS:C0024228
alcohol addiction	UMLS:C0001973
disease mental	UMLS:C0004936
disease female genitals	UMLS:C0017411
disorders lymphatic system	UMLS:C0024228
ARTHRITIS, TUBERCULOUS	UMLS:C0022415
gastroenteropathy	UMLS:C0017178
biliary tract disease	UMLS:C0005424
adrenal diseases gland	UMLS:C0001621
Leucocythaemia	UMLS:C0023418
Unspecified disorder of ear	UMLS:C0013447
Myelodysplasia	UMLS:C3463824
RENAL DISORDERS	UMLS:C0022658
Sick Roles	UMLS:C0037051
Thrombocytopathy	UMLS:C0005818
Alcohol Dependence	UMLS:C0001973
bone tumour	UMLS:C0005967
Carbohydrate Metabolism Disorder	UMLS:C0149670
Germinoblastic Sarcoma	UMLS:C0024299
disorder nutrition	UMLS:C3714509
breast disease	UMLS:C0006145
aetiology	UMLS:C0015127
metabolic diseases	UMLS:C0025517
DISORDER NEONATAL	UMLS:C0021290
hematological disease	UMLS:C0018939
Urinary Bladder Disorder	UMLS:C0005686
Diseases, Plant	UMLS:C0032080
Blood Coagulation Disorders	UMLS:C0005779
Immunologic Disease	UMLS:C0021053
laryngeal disease	UMLS:C0023051
Rectal Disease	UMLS:C0034882
cardiopathies	UMLS:C0018799
bone disease	UMLS:C0005940
valvular heart diseases	UMLS:C0018824
diseases gynecological	UMLS:C0017411
Glial Neoplasm	UMLS:C0017638
Diseases and defects	UMLS:C0868947
Infant, Newborn, Diseases	UMLS:C0021290
Platelet Disorder	UMLS:C0005818
connective tissue disease	UMLS:C0009782
Malignant Lymphomas	UMLS:C0024299
a n	UMLS:C1272460
neurodegenerative disorders	UMLS:C0524851
Hodgkin's Lymphoma	UMLS:C0019829
SPLEEN DISORDER	UMLS:C0037997
Tongue Disorder	UMLS:C0040409
Spinal disorder NOS	UMLS:C0037933
MYELODYSPLASTIC SYNDROME, SUSCEPTIBILITY TO	UMLS:C3463824
DYSCRASIA BLOOD (NOS)	UMLS:C0018939
Urea Cycle Disorder	UMLS:C0154246
Adipose Tissue Tumor	UMLS:C0206631
LEUKEMIA LYMPHOID	UMLS:C0023448
Plasmacytic Tumour	UMLS:C1959632
Germ Cell Neoplasms	UMLS:C0205851
Urinary System Disorder	UMLS:C0042075
genetic condition	UMLS:C0019247
LYMPHADENOPATHY	UMLS:C0497156
giant cell tumour	UMLS:C0017525
Psychiatric Diseases	UMLS:C0004936
mast cell neoplasm	UMLS:C0334664
Eye Diseases	UMLS:C0015397
disorder intestine	UMLS:C0021831
periodontium disorder	UMLS:C0031090
congenital diseases	UMLS:C0242354
Mental Dysfunction	UMLS:C0004936
Dermatologic disorders	UMLS:C0037274
Hodgkin's Disease	UMLS:C0019829
Leukemias, Myelocytic	UMLS:C0023470
epithelioma	UMLS:C1368683
Lower Motor Neuron Disease	UMLS:C0270764
Hematologic disease	UMLS:C0018939
urinary tract disorder	UMLS:C0042075
osteopathy	UMLS:C0005940
Otologic Diseases	UMLS:C0013447
leukaemias	UMLS:C0023418
Disease, Bone	UMLS:C0005940
DISORDER CALCIUM (NOS)	UMLS:C0302590
CEREBROVASCULAR DISEASE	UMLS:C0007820
Motor System Disease	UMLS:C0085084
splenic disease	UMLS:C0037997
intestinal diseases	UMLS:C0021831
myeloid leukaemia	UMLS:C0023470
disorder of reproductive system	UMLS:C0178829
communicable disease	UMLS:C0009450
Degenerative Neurologic Disorder	UMLS:C0524851
Tooth Disorders	UMLS:C0040435
bones disease	UMLS:C0005940
myelodysplastic syndromes	UMLS:C3463824
cells giants tumor	UMLS:C0017525
integumentary disease	UMLS:C0037274
Periapical Disease	UMLS:C0031028
genetic disease	UMLS:C0019247
cell squamous tumors	UMLS:C0206720
Anorectal Diseases	UMLS:C0687707
HEART DISEASE, NOS	UMLS:C0018799
muscle tumors	UMLS:C0282606
Anorectal Disorders	UMLS:C0687707
jaw disease	UMLS:C0022362
Virus Diseases	UMLS:C0042769
Diffuse lymphoblastic lymphosarcoma	UMLS:C0079748
malignant tumour	UMLS:C0006826
inborn urea cycle disorder	UMLS:C0154246
disease of the larynx	UMLS:C0023051
Endocrine system disease	UMLS:C0014130
neuroepithelial tumors	UMLS:C0206715
Endocrine glands--Diseases	UMLS:C0014130
Chronic disease	UMLS:C0008679
behaviour disorder	UMLS:C0004930
Clinical Data Interchange Standards Consortium Glossary	UMLS:C4553192
disorders of coagulation	UMLS:C0005779
Mature T-Cell Non-Hodgkin's Lymphoma	UMLS:C5551485
Disease of scrotum	UMLS:C0268919
abscess gums	UMLS:C0149892
malignant lymphomas	UMLS:C0024299
diagnosis	UMLS:C0011900
diagnoses	UMLS:C0011900
pharyngeal disease	UMLS:C0031345
tooth disorder	UMLS:C0040435
URINARY TRACT DISORDER	UMLS:C0042075
Unspecified disorder of biliary tract	UMLS:C0005424
wellness	UMLS:C0018684
Neoplasm of the Nerve Sheath	UMLS:C0206727
bone diseases	UMLS:C0005940
Disease, Hematological	UMLS:C0018939
disorders pancreatic	UMLS:C0030286
Plant Diseases	UMLS:C0032080
virus disease	UMLS:C0042769
Hepatocerebral Encephalopathies	UMLS:C0019151
Congenital Amino Acidopathy	UMLS:C0002514
leukemia	UMLS:C0023418
NAIL DISEASE	UMLS:C0027339
Disease, Urethral	UMLS:C0041969
bowel diseases	UMLS:C0021831
disorders urethral	UMLS:C0041969
Odontogenic tumors	UMLS:C0028880
urea cycle disorder	UMLS:C0154246
skin diseases	UMLS:C0037274
disorders memory	UMLS:C0025261
JOINT DISORDER	UMLS:C0022408
myelosis	UMLS:C0023470
Tumor of the Germ Cell	UMLS:C0205851
Disease, Genitourinary	UMLS:C0080276
Mature T-Cell and NK-Cell Lymphoma	UMLS:C5551485
Myelodysplastic syndrome (MDS)	UMLS:C3463824
of joint tuberculosis	UMLS:C0022415
pericardial diseases	UMLS:C0265122
Unspecified disease of larynx	UMLS:C0023051
boeck's sarcoid	UMLS:C0036202
DISORDER NERVOUS SYSTEM	UMLS:C0027765
cancer	UMLS:C0006826
disorders platelets	UMLS:C0005818
diseases of breast	UMLS:C0006145
Disorder, Blood Platelet	UMLS:C0005818
Precursor cell lymphoblastic lymphoma	UMLS:C0079748
Lymphatic Vessel Tumor	UMLS:C0206619
Syndromes, Dumping	UMLS:C0013288
Disease, Genetic	UMLS:C0019247
disease spleen	UMLS:C0037997
hematologic disorders	UMLS:C0018939
recuring	UMLS:C0034897
Blood Vessel Tumor	UMLS:C4722524
blood disorder	UMLS:C0018939
Diseases, Urological	UMLS:C0042075
hereditary disease	UMLS:C0019247
urethral diseases	UMLS:C0041969
Disorder, Phosphorus Metabolism	UMLS:C0031707
gliomas	UMLS:C0017638
DISORDER IMMUNE SYSTEM (NOS)	UMLS:C0021053
Thesaurismoses	UMLS:C0025517
Diseases of pancreas	UMLS:C0030286
BEHAVIOR DISORDER	UMLS:C0004930
Psychiatric Disorder	UMLS:C0004936
vascular disorders	UMLS:C0042373
Genomics Data Commons Terminology	UMLS:C4763808
diseases disorders pharynx	UMLS:C0031345
epidemiology	UMLS:C0699910
Joints--Tuberculosis	UMLS:C0022415
crystal arthritis	UMLS:C0152087
Giant Cell Neoplasm	UMLS:C0017525
tooth diseases	UMLS:C0040435
Central Nervous System Disorders	UMLS:C0007682
blood vessel tumor	UMLS:C4722524
disorder skin	UMLS:C0037274
lymphoblastic leukemia	UMLS:C0023448
disease motor neurons	UMLS:C0085084
Disease, TMJ	UMLS:C0039494
Urea Cycle Disorders, Inborn	UMLS:C0154246
gynecological disorder	UMLS:C0017411
Hepatocellular Injury	UMLS:C0151763
Testicular Disorders	UMLS:C0039584
nutritional problems	UMLS:C3714509
Disease, Kidney	UMLS:C0022658
Leukemia, Myelogenous	UMLS:C0023470
Hodgkins lymphoma	UMLS:C0019829
peritoneum diseases	UMLS:C0031142
Neuroepithelial neoplasm	UMLS:C0206715
Hodgkin's disease, unspecified type	UMLS:C0019829
MDS	UMLS:C3463824
Gland Disease, Adrenal	UMLS:C0001621
Syndrome, Schaumann	UMLS:C0036202
bowels diseases	UMLS:C0021831
Encephalopathies, Portal-Systemic	UMLS:C0019151
skin disease	UMLS:C0037274
diseases of the pancreas	UMLS:C0030286
LIVER DAMAGE	UMLS:C0151763
hemostatic disorder	UMLS:C0005779
Myelodysplastic syndromes	UMLS:C3463824
diseases of the urinary system	UMLS:C0042075
tongue disease	UMLS:C0040409
Blood Vessel Neoplasm	UMLS:C4722524
CNS disorder	UMLS:C0007682
digestive disorders	UMLS:C0012242
Digestive organs--Diseases	UMLS:C0266806
Diseases, Larynx	UMLS:C0023051
DISORDER URINARY TRACT	UMLS:C0042075
Joint disease	UMLS:C0022408
Joint Disorders	UMLS:C0022408
Genetic Disorders	UMLS:C0019247
Blood Disorders	UMLS:C0018939
Pharynx Diseases	UMLS:C0031345
Glial Cell Tumors	UMLS:C0017638
bladder disorder	UMLS:C0005686
ABSCESS GUM	UMLS:C0149892
gingival disease	UMLS:C0017563
Viral Infectious Disease	UMLS:C0042769
Cerebrovascular disease	UMLS:C0007820
herniation	UMLS:C0019270
Immune System Diseases	UMLS:C0021053
developmental disease/disorder	UMLS:C1113651
disease larynx	UMLS:C0023051
Diseases, Vascular	UMLS:C0042373
Soft Tissue Diseases	UMLS:C0263978
glomerular diseases	UMLS:C0268731
disorder psychiatric	UMLS:C0004936
Myeloproliferative Tumor	UMLS:C1292778
Immunological Diseases	UMLS:C0021053
PARATHYOID DISORDER	UMLS:C0030517
Lymphatic disease	UMLS:C0024228
Tumors	UMLS:C0027651
Infectious Diseases	UMLS:C0009450
Diseases, Pituitary Gland	UMLS:C0032002
bones diseases	UMLS:C0005940
Laryngeal Disorder	UMLS:C0023051
Urological Disorders	UMLS:C0042075
blood coagulation disorders	UMLS:C0005779
Nephropathy	UMLS:C0022658
DISORDER BONE (NOS)	UMLS:C0005940
Disease Susceptibilities	UMLS:C0012655
diseases of the breast	UMLS:C0006145
Adenopathies	UMLS:C0497156
lymphatic system disorder	UMLS:C0024228
Amino Acid Metabolism, Inborn Errors	UMLS:C0002514
Sleep Disturbance	UMLS:C0851578
disorder memory	UMLS:C0025261
Diseases, Orbital	UMLS:C0029182
dermatoses	UMLS:C0037274
hodgkin's lymphoma	UMLS:C0019829
Eye Disorder	UMLS:C0015397
alcohol dependence	UMLS:C0001973
disease jaw	UMLS:C0022362
disorders sinus	UMLS:C0030469
Tumors, Trophoblast	UMLS:C0041182
Disease of tonsils	UMLS:C0272380
disorders nervous systems	UMLS:C0027765
Viral infection NOS	UMLS:C0042769
Lymphocytic Leukemias	UMLS:C0023448
INJURY	UMLS:C3263723
Disease remission	UMLS:C0544452
Perinatal disorder	UMLS:C0270075
disorder temporomandibular	UMLS:C0039494
Clinical Trials Reporting Program Disease Terminology	UMLS:C3899743
Odontogenic tumour	UMLS:C0028880
Unspecified cerebrovascular disease	UMLS:C0007820
mental health disorder	UMLS:C0004936
disorders system urinary	UMLS:C0042075
Disorder by Site	UMLS:C1333305
VIRAL INFECTION	UMLS:C0042769
tooth disease	UMLS:C0040435
Nutrition Disorder	UMLS:C3714509
lymphogenous leukemia	UMLS:C0023448
cardiovascular diseases	UMLS:C0007222
blood system disorder	UMLS:C0018939
NERVOUS SYSTEM DISORDER, CENTRAL	UMLS:C0007682
Neurologic Degenerative Condition	UMLS:C0524851
lymphogranulomatosis	UMLS:C0019829
Injuries	UMLS:C3263723
Cardiovascular disease, unspecified	UMLS:C0007222
Adrenal Gland Disorder	UMLS:C0001621
Besnier Boeck Schaumann Syndrome	UMLS:C0036202
deficiencies enzyme	UMLS:C0149676
insect disease	UMLS:C0598303
Diseases and Disorders	UMLS:C0012634
SKIN DISORDERS	UMLS:C0037274
Ear conditions	UMLS:C0013447
POLYPS	UMLS:C0032584
muscle tumours	UMLS:C0282606
disorder incidence	UMLS:C0026538
Tumor of the Adipose Tissue	UMLS:C0206631
parathyroid diseases	UMLS:C0030517
Disorder, Calcium Metabolism	UMLS:C0006705
Intercurrent Illness	UMLS:C0009488
disorders joint temporomandibular	UMLS:C0039494
BESNIER-BOECK-SCHAUMANN DISEASE	UMLS:C0036202
gingival diseases	UMLS:C0017563
cardiovascular disease	UMLS:C0007222
Disease, Rare	UMLS:C0678236
digestive system disorder	UMLS:C0012242
FIBROBLASTOMA, MENINGEAL	UMLS:C0025286
HYPERBILIRUBINEMIA, IDIOPATHIC	UMLS:C0220991
behavioural disorder	UMLS:C0004930
myelodysplasia	UMLS:C3463824
lymph node enlargement	UMLS:C0497156
Tumor of Lymphatic Vessel	UMLS:C0206619
Lacrimal Apparatus Diseases	UMLS:C0022904
SKIN DISORDER	UMLS:C0037274
Cardiomyopathy,	UMLS:C0878544
Skin Diseases	UMLS:C0037274
PREMENSTRUAL SYNDROME	UMLS:C0033046
Phosphorus Metabolism Disorder	UMLS:C0031707
communications disorders	UMLS:C0009460
Myelodysplastic Syndromes	UMLS:C3463824
Immunological Disease	UMLS:C0021053
Amino Acid Metabolism Disorder	UMLS:C0002514
Granuloma, Hodgkin	UMLS:C0019829
myelocytic leukemia	UMLS:C0023470
Gastrointestinal Disorder	UMLS:C0017178
Immune Diseases	UMLS:C0021053
diseases of the joints	UMLS:C0022408
cardiac valve disorder	UMLS:C0018824
Disorders, Blood Coagulation	UMLS:C0005779
Mediastinal Disorder	UMLS:C0025061
classification	UMLS:C0008903
Leukemias, General	UMLS:C0023418
gum disease	UMLS:C0017563
Pituitary Gland Disorder	UMLS:C0032002
myelocytic leukaemia	UMLS:C0023470
Disorder, Sleep	UMLS:C0851578
Neurologic Disorders	UMLS:C0027765
blood cells disorders red	UMLS:C0221016
Portal-Systemic Encephalopathies	UMLS:C0019151
sleep disturbance	UMLS:C0851578
Degenerative Diseases, Neurologic	UMLS:C0524851
Genetic Disorder	UMLS:C0019247
Tumor of the Mast Cells	UMLS:C0334664
bowel disorder	UMLS:C0021831
Malignant lymphoma NOS	UMLS:C0024299
Fibroepithelial Neoplasm	UMLS:C0206649
Neoplastic Growth	UMLS:C0027651
bone tumors	UMLS:C0005967
Infectious Disease	UMLS:C0009450
Disease, Virus	UMLS:C0042769
Encephalopathies, Hepatic	UMLS:C0019151
disease bowel	UMLS:C0021831
adrenal diseases	UMLS:C0001621
rotor's syndromes	UMLS:C0220991
disease intestines	UMLS:C0021831
Heart valves--Diseases	UMLS:C0018824
Granuloma, Hodgkin's	UMLS:C0019829
Behavior-Related Problem	UMLS:C0004930
Neoplasm of the Lymphatic Vessel	UMLS:C0206619
injuries	UMLS:C3263723
tumor mast cell	UMLS:C0334664
? = Unknown	UMLS:C0439673
Encephalopathy, Hepatic	UMLS:C0019151
Plasma Cell Dyscrasia	UMLS:C1959632
Immune Disorders	UMLS:C0021053
Respiratory System Disease	UMLS:C0035242
Bone Tumor	UMLS:C0005967
Neurodegenerative Disorders	UMLS:C0524851
muscle neoplasm	UMLS:C0282606
Skin Disorder	UMLS:C0037274
motor neurone disease	UMLS:C0085084
Vascular Diseases	UMLS:C0042373
appendix disorders	UMLS:C0267613
remission	UMLS:C0544452
cardiovascular system disease	UMLS:C0007222
Computer Retrieval of Information on Scientific Projects Thesaurus	UMLS:C1140093
Upper motor neuron disease	UMLS:C0521659
Diseases, Metabolic	UMLS:C0025517
diseases pancreatic	UMLS:C0030286
Disease, Gastrointestinal	UMLS:C0017178
connective tissue diseases	UMLS:C0009782
Orbital Disease	UMLS:C0029182
Joint Disease	UMLS:C0022408
Inborn Urea Cycle Disorder	UMLS:C0154246
mental disorder	UMLS:C0004936
Lymphomatous	UMLS:C0024299
Behavioral disorders	UMLS:C0004930
urinary system diseases	UMLS:C0042075
bone disorders	UMLS:C0005940
NEPHROPATHY, SICKLE CELL	UMLS:C0238305
copper metabolism disorder	UMLS:C0012714
dermatosis	UMLS:C0037274
Circulatory Disorders	UMLS:C0728936
Lip Disorder	UMLS:C0023760
Musculoskeletal system--Diseases	UMLS:C0026857
Communication disorders	UMLS:C0009460
Cerebrovascular Disease	UMLS:C0007820
Degenerative Neurologic Disorders	UMLS:C0524851
neurological disorders	UMLS:C0027765
testes disorders	UMLS:C0039584
gingiva abscess	UMLS:C0149892
Malignant Tumor	UMLS:C0006826
renal disorder	UMLS:C0022658
Diseases, Genetic	UMLS:C0019247
chronic disorder	UMLS:C0008679
mastopathy	UMLS:C0006145
bone neoplasms	UMLS:C0005967
Hematologic Disease	UMLS:C0018939
disorders, sleep	UMLS:C0851578
Odontogenic Neoplasm	UMLS:C0028880
Vasculopathy	UMLS:C0042373
Mature T-and NK-Cell Lymphoma	UMLS:C5551485
adrenal disease	UMLS:C0001621
Disease, Endocrine	UMLS:C0014130
acids amino disorder	UMLS:C0002514
Peritoneal Disorders	UMLS:C0031142
intestinal tract diseases	UMLS:C0021831
genetic syndrome	UMLS:C0019247
Disturbances of sulphur-bearing amino-acid metabolism	UMLS:C0268613
Etiology	UMLS:C1314792
NOS, unknown	UMLS:C0439673
Crystalline Arthritis	UMLS:C0152087
diseases musculoskeletal	UMLS:C0026857
disease intestine	UMLS:C0021831
Diseases, Neonatal	UMLS:C0021290
Circulation, Disorders of	UMLS:C0728936
Pleura--Diseases	UMLS:C0032226
bronchus disease	UMLS:C0006261
Valvular heart disease	UMLS:C0018824
of nail disease	UMLS:C0027339
Mental illness	UMLS:C0004936
Tumor of the Neuroglia	UMLS:C0017638
disorders reproductive system	UMLS:C0178829
disorders bowel	UMLS:C0021831
MYELODYSPLASTIC SYNDROME	UMLS:C3463824
CTRP Disease Terminology	UMLS:C3899743
Disease, Nervous System	UMLS:C0027765
DISORDER OF CARBOHYDRATE METABOLISM	UMLS:C0149670
Joint Tuberculoses	UMLS:C0022415
respiratory tract disorders	UMLS:C0035242
Endocrine disorders	UMLS:C0014130
Dipsomania	UMLS:C0001973
Musculoskeletal Diseases	UMLS:C0026857
Nervous system diseases	UMLS:C0027765
Mental Illnesses	UMLS:C0004936
Not known	UMLS:C0439673
Arthropathy	UMLS:C0022408
diseases intestine	UMLS:C0021831
N/A	UMLS:C1272460
TMJ Disorders	UMLS:C0039494
Chronic alcoholism	UMLS:C0001973
biliary tract disorders	UMLS:C0005424
Urethral Diseases	UMLS:C0041969
Neoplasms, Basal Cell	UMLS:C0206710
Tooth Diseases	UMLS:C0040435
Sinus Diseases, Paranasal	UMLS:C0030469
Disorders of lacrimal system	UMLS:C0022904
Adnexal Neoplasm of the Skin	UMLS:C0345988
GLIOMA	UMLS:C0017638
pleural disorder	UMLS:C0032226
Viral Disorder	UMLS:C0042769
disease congenital	UMLS:C0242354
Trophoblast Neoplasm	UMLS:C0041182
Hematological Diseases	UMLS:C0018939
vocal cord disorder	UMLS:C0264309
cord disorders vocal	UMLS:C0264309
Motor neurons--Diseases	UMLS:C0085084
mental retardation	UMLS:C0025362
paranasal sinus diseases	UMLS:C0030469
Germ Cell Neoplasm	UMLS:C0205851
health	UMLS:C0018684
Osseous Tumor	UMLS:C0005967
CANCER	UMLS:C0006826
Syndrome, Premenstrual	UMLS:C0033046
Portal-systemic encephalopathy	UMLS:C0019151
psychiatric illness	UMLS:C0004936
renal urinary disorders	UMLS:C0042075
Diseases, Pancreatic	UMLS:C0030286
Diagnostic	UMLS:C0011900
Otologic Disease	UMLS:C0013447
upper respiratory disease	UMLS:C0264221
Precursor Lymphoblastic Lymphoma	UMLS:C0079748
Mature T-Cell and NK-Cell Non-Hodgkin's Lymphoma	UMLS:C5551485
Voice Disorders	UMLS:C0042940
rectal diseases	UMLS:C0034882
COAGULATION DISORDER (NOS)	UMLS:C0005779
Hodgkin disease	UMLS:C0019829
Hodgkin lymphoma	UMLS:C0019829
Metabolic Disorder	UMLS:C0025517
Gingival Disease	UMLS:C0017563
DISEASES OF THE DIGESTIVE SYSTEM	UMLS:C0012242
Communicable Disease	UMLS:C0009450
lymphatic leukaemia	UMLS:C0023448
odontogenic tumors	UMLS:C0028880
Plasma Cell Tumor	UMLS:C1959632
sleeping disorders	UMLS:C0851578
Biliary Tract Disease	UMLS:C0005424
gingival abscess	UMLS:C0149892
diseases plants	UMLS:C0032080
neoplasm/cancer	UMLS:C0006826
arterial disease	UMLS:C0852949
Pathologic Processes	UMLS:C0030660
Unspecified respiratory condition of fetus and newborn	UMLS:C0270146
Infections, Viral	UMLS:C0042769
Gynecologic Diseases	UMLS:C0017411
chronic illnesses	UMLS:C0008679
Endocrine Pancreas Disorder	UMLS:C0271633
schaumann's disease	UMLS:C0036202
Cardiac Disorder	UMLS:C0018799
Cancer-Related Problem or Condition	UMLS:C0280950
Neurologic Diseases	UMLS:C0027765
Nail disease	UMLS:C0027339
lymphogranulomatosis	UMLS:C0036202
Disorder, coagulation	UMLS:C0005779
urethra diseases	UMLS:C0041969
diseases larynx	UMLS:C0023051
disorder birth	UMLS:C0242354
bleeding tendency	UMLS:C0005779
tmj disorders	UMLS:C0039494
Eye Disease	UMLS:C0015397
Myelogenous Leukemia	UMLS:C0023470
bilirubin disorder metabolism	UMLS:C0268305
immune system diseases	UMLS:C0021053
chronic disease	UMLS:C0008679
Leukemia, Lymphoid	UMLS:C0023448
portal systemic encephalopathy	UMLS:C0019151
Basal Cell Neoplasm	UMLS:C0206710
cancer related problem/condition	UMLS:C0280950
ENDOCRINE DISORDER	UMLS:C0014130
types leukemia	UMLS:C0023418
Disorders, Temporomandibular Joint	UMLS:C0039494
Diseases, Testicular	UMLS:C0039584
Neurodegenerative Diseases	UMLS:C0524851
CNS DISORDER (NOS)	UMLS:C0007682
Tumor of Neuroepithelium	UMLS:C0206715
Neurologic Degenerative Disease	UMLS:C0524851
disease integumentary	UMLS:C0037274
Polyps	UMLS:C0032584
Disease, Orbital	UMLS:C0029182
meningioma	UMLS:C0025286
RESPIRATORY DISORDER (NOS)	UMLS:C0035204
Gastrointestinal disease	UMLS:C0017178
Injury	UMLS:C3263723
Darier-Roussy Sarcoid	UMLS:C0036202
leukemia myelocytic	UMLS:C0023470
Otological Diseases	UMLS:C0013447
Myelodysplastic Syndrome	UMLS:C3463824
Disorders, TMJ	UMLS:C0039494
NRNT	UMLS:C3274563
